State,District,SubDistrict,VillageName,Population,Area_Hectares,Literacy_Rate
Tamil Nadu,Chennai,Chennai Taluka,Nava Wadi 7366,1857,1646.73,90.85
Punjab,Ludhiana,Ludhiana Taluka,Puragaon 7367,2889,1460.47,78.02
Haryana,Faridabad,Faridabad Taluka,Purakhurd 7368,13087,4525.75,40.2
Rajasthan,Ajmer,Ajmer Taluka,Pura Wadi 7369,6808,1226.84,72.82
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Nava Halli 7370,7991,2797.69,67.58
Bihar,Purnia,Purnia Taluka,Motikalan 7371,2771,1306.74,43.3
Bihar,Gaya,Gaya Taluka,Badigarh 7372,5195,3730.51,59.91
Karnataka,Mysore,Mysore Taluka,Motipeta 7373,14636,4198.54,41.02
West Bengal,Howrah,Howrah Taluka,Harihalli 7374,1391,3857.62,54.6
Uttar Pradesh,Lucknow,Lucknow Taluka,Navagarh 7375,,3630.42,64.43
Rajasthan,Jodhpur,Jodhpur Taluka,Motigaon 7376,2404,2977.52,77.06
Bihar,Gaya,Gaya Taluka,Navapeta 7377,1434,2481.6,42.74
Haryana,Gurugram,Gurugram Taluka,Puranagar 7378,14626,3434.93,92.86
Bihar,Bhagalpur,Bhagalpur Taluka,Badipeta 7379,11573,653.11,79.47
Rajasthan,Udaipur,Udaipur Taluka,Nayakalan 7380,14289,4559.74,82.74
Maharashtra,Thane,Thane Taluka,Kala Garh 7381,,2505.53,71.07
Haryana,Gurugram,Gurugram Taluka,Lalhalli 7382,12043,2684.92,88.02
West Bengal,Howrah,Howrah Taluka,Haripur 7383,3033,726.17,47.66
Uttar Pradesh,Kanpur,Kanpur Taluka,Kala Khurd 7384,239,4484.05,89.58
Bihar,Bhagalpur,Bhagalpur Taluka,Moti Kalan 7385,11711,2215.85,83.44
Punjab,Ludhiana,Ludhiana Taluka,Purakalan 7386,8391,749.29,79.17
Punjab,Patiala,Patiala Taluka,Nayapur 7387,,1183.88,76.94
West Bengal,Howrah,Howrah Taluka,Kala Peta 7388,3291,4578.77,75.76
Haryana,Ambala,Ambala Taluka,Chhotipeta 7389,9293,1060.98,46.86
Haryana,Rohtak,Rohtak Taluka,Lal Garh 7390,3533,2062.59,72.54
Gujarat,Ahmedabad,Ahmedabad Taluka,Lal Wadi 7391,4174,1634.27,90.96
Rajasthan,Jaipur,Jaipur Taluka,Navapur 7392,14127,1876.07,48.17
West Bengal,Kolkata,Kolkata Taluka,Lalpeta 7393,9398,4136.03,54.14
West Bengal,Darjeeling,Darjeeling Taluka,Lalgarh 7394,7973,2911.46,46.39
Punjab,Amritsar,Amritsar Taluka,Kalapeta 7395,178,1474.94,54.46
Tamil Nadu,Chennai,Chennai Taluka,Purakhurd 7396,13648,2752.33,86.65
Tamil Nadu,Chennai,Chennai Taluka,Kalakhurd 7397,11396,1776.72,49.03
West Bengal,Durgapur,Durgapur Taluka,Purahalli 7398,5763,204.2,83.58
Maharashtra,Nashik,Nashik Taluka,Hari Halli 7399,12387,4522.24,73.83
West Bengal,Kolkata,Kolkata Taluka,Nayagaon 7400,7346,1581.51,
West Bengal,Siliguri,Siliguri Taluka,Moti Gaon 7401,8251,1920.44,43.83
Tamil Nadu,Madurai,Madurai Taluka,Harikalan 7402,1314,2343.73,76.28
Haryana,Panipat,Panipat Taluka,Kalakalan 7403,13084,790.62,63.71
Haryana,Rohtak,Rohtak Taluka,Badipeta 7404,854,4454.64,50.79
West Bengal,Howrah,Howrah Taluka,Moti Gaon 7405,2068,546.23,55.52
Maharashtra,Thane,Thane Taluka,Kala Kalan 7406,12443,4384.1,46.71
West Bengal,Siliguri,Siliguri Taluka,Lal Kalan 7407,6135,3881.91,57.71
Tamil Nadu,Coimbatore,Coimbatore Taluka,Badi Wadi 7408,13273,2874.49,68.49
Bihar,Bhagalpur,Bhagalpur Taluka,Hariwadi 7409,5477,4699.58,82.51
Gujarat,Bhavnagar,Bhavnagar Taluka,Lal Peta 7410,13172,639.9,
Haryana,Faridabad,Faridabad Taluka,Kala Gaon 7411,7390,4647.31,78.29
Uttar Pradesh,Meerut,Meerut Taluka,Naya Peta 7412,13692,1063.12,57.44
Haryana,Gurugram,Gurugram Taluka,Chhoti Nagar 7413,10008,877.32,72.43
Bihar,Purnia,Purnia Taluka,Chhotihalli 7414,7430,2886.32,49.44
Rajasthan,Udaipur,Udaipur Taluka,Pura Pur 7415,9041,809.67,56.53
Gujarat,Surat,Surat Taluka,Lal Wadi 7416,12867,316.51,57.74
Punjab,Patiala,Patiala Taluka,Hari Halli 7417,11789,2702.47,82.62
Rajasthan,Udaipur,Udaipur Taluka,Badikalan 7418,14938,1325.65,75.82
Bihar,Patna,Patna Taluka,Nayakhurd 7419,7227,2028.35,92.91
Punjab,Bathinda,Bathinda Taluka,Lal Wadi 7420,10846,2253.42,85.33
Rajasthan,Kota,Kota Taluka,Badinagar 7421,12240,2737.96,78.43
Tamil Nadu,Salem,Salem Taluka,Navakalan 7422,6469,164.65,57.46
Karnataka,Bangalore,Bangalore Taluka,Nayapur 7423,6123,1901.51,82.68
Maharashtra,Mumbai,Mumbai Taluka,Navagarh 7424,13922,2697.05,80.47
Haryana,Ambala,Ambala Taluka,Pura Peta 7425,3360,1395.09,64.4
West Bengal,Kolkata,Kolkata Taluka,Kala Wadi 7426,14351,3577.03,92.46
Uttar Pradesh,Kanpur,Kanpur Taluka,Lalgarh 7427,9555,2386.12,44.29
Uttar Pradesh,Lucknow,Lucknow Taluka,Lalpur 7428,3247,1669.17,87.46
Haryana,Faridabad,Faridabad Taluka,Navapur 7429,11707,660.73,89.15
West Bengal,Howrah,Howrah Taluka,Motiwadi 7430,13413,3550.51,89.3
Haryana,Gurugram,Gurugram Taluka,Hari Halli 7431,9412,1464.98,74.35
Karnataka,Bangalore,Bangalore Taluka,Motinagar 7432,5478,2540.58,62.62
Haryana,Faridabad,Faridabad Taluka,Lalpeta 7433,14149,3600.45,69.23
Karnataka,Bangalore,Bangalore Taluka,Naya Wadi 7434,4236,1450.98,72.49
Bihar,Muzaffarpur,Muzaffarpur Taluka,Pura Wadi 7435,12921,1151.81,75.7
Tamil Nadu,Chennai,Chennai Taluka,Lalhalli 7436,5064,2242.14,77.39
West Bengal,Kolkata,Kolkata Taluka,Nava Gaon 7437,10583,4051.71,
Gujarat,Bhavnagar,Bhavnagar Taluka,Hari Garh 7438,3195,4183.87,57.81
Bihar,Muzaffarpur,Muzaffarpur Taluka,Harigaon 7439,3765,1426.64,89.57
West Bengal,Durgapur,Durgapur Taluka,Kalawadi 7440,2341,257.86,60.8
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Chhotinagar 7441,10899,1397.4,76.94
Tamil Nadu,Chennai,Chennai Taluka,Chhoti Khurd 7442,9756,2360.49,93.22
West Bengal,Durgapur,Durgapur Taluka,Motigaon 7443,9957,1212.47,69.45
Tamil Nadu,Madurai,Madurai Taluka,Naya Khurd 7444,13881,2603.9,47.66
Gujarat,Surat,Surat Taluka,Purakalan 7445,9206,3784.84,44.71
Uttar Pradesh,Agra,Agra Taluka,Lalnagar 7446,2808,3571.45,
Karnataka,Belgaum,Belgaum Taluka,Kalakhurd 7447,10575,2333.09,44.69
Rajasthan,Udaipur,Udaipur Taluka,Navagarh 7448,14866,3507.99,43.39
West Bengal,Kolkata,Kolkata Taluka,Moti Wadi 7449,7711,4190.87,83.25
Tamil Nadu,Chennai,Chennai Taluka,Badi Peta 7450,3982,644.17,43.97
Uttar Pradesh,Kanpur,Kanpur Taluka,Kalahalli 7451,1714,3121.5,82.26
Haryana,Faridabad,Faridabad Taluka,Pura Garh 7452,9889,193.93,94.18
Maharashtra,Thane,Thane Taluka,Hari Pur 7453,6949,912.56,41.83
West Bengal,Kolkata,Kolkata Taluka,Purawadi 7454,1406,1022.67,65.53
Uttar Pradesh,Agra,Agra Taluka,Harikalan 7455,12919,1513.36,71.41
Punjab,Bathinda,Bathinda Taluka,Moti Garh 7456,12759,3434.15,61.98
Karnataka,Mysore,Mysore Taluka,Naya Garh 7457,11969,319.5,
Karnataka,Bangalore,Bangalore Taluka,Harihalli 7458,5155,4263.6,47.87
Punjab,Patiala,Patiala Taluka,Kalapeta 7459,5480,1182.76,44.89
Maharashtra,Mumbai,Mumbai Taluka,Naya Pur 7460,9876,3989.91,89.53
Punjab,Jalandhar,Jalandhar Taluka,Harigarh 7461,10637,838.99,68.31
Bihar,Bhagalpur,Bhagalpur Taluka,Naya Nagar 7462,3813,59.25,
Rajasthan,Ajmer,Ajmer Taluka,Lal Kalan 7463,4802,3803.55,52.54
Karnataka,Belgaum,Belgaum Taluka,Badi Gaon 7464,13889,3019.08,60.8
Tamil Nadu,Chennai,Chennai Taluka,Hari Wadi 7465,10398,1274.35,57.38
Maharashtra,Mumbai,Mumbai Taluka,Lal Peta 7466,12081,1327.96,53.81
Rajasthan,Jaipur,Jaipur Taluka,Nayapeta 7467,9164,248.51,92.7
Karnataka,Bangalore,Bangalore Taluka,Pura Peta 7468,3457,1081.44,46.95
Uttar Pradesh,Lucknow,Lucknow Taluka,Harigarh 7469,2202,738.53,56.36
Maharashtra,Nashik,Nashik Taluka,Kala Pur 7470,9686,2093.51,41.28
Gujarat,Surat,Surat Taluka,Kala Garh 7471,11092,506.58,44.03
West Bengal,Siliguri,Siliguri Taluka,Lalgaon 7472,639,434.74,80.65
Tamil Nadu,Madurai,Madurai Taluka,Naya Khurd 7473,10751,4610.97,67.64
Karnataka,Hubli,Hubli Taluka,Chhoti Kalan 7474,14150,1916.95,85.1
Tamil Nadu,Coimbatore,Coimbatore Taluka,Nayapeta 7475,2696,1100.81,61.41
Karnataka,Belgaum,Belgaum Taluka,Chhoti Khurd 7476,6859,2237.35,40.1
Maharashtra,Nagpur,Nagpur Taluka,Chhoti Nagar 7477,279,2931.94,72.73
Rajasthan,Kota,Kota Taluka,Hari Garh 7478,9834,2320.77,48.88
Punjab,Bathinda,Bathinda Taluka,Moti Garh 7479,2636,2689.65,61.07
Gujarat,Surat,Surat Taluka,Navagarh 7480,12170,2595.75,65.86
West Bengal,Durgapur,Durgapur Taluka,Motikalan 7481,9142,4953.77,87.69
Punjab,Bathinda,Bathinda Taluka,Hari Pur 7482,3122,1596.78,87.73
Haryana,Panipat,Panipat Taluka,Navapeta 7483,2029,3246.16,49.91
Rajasthan,Jaipur,Jaipur Taluka,Badi Nagar 7484,4924,2357.93,88.84
Gujarat,Vadodara,Vadodara Taluka,Naya Kalan 7485,7392,4672.41,57.14
West Bengal,Kolkata,Kolkata Taluka,Chhoti Peta 7486,4002,4253.02,46.29
Gujarat,Bhavnagar,Bhavnagar Taluka,Lal Wadi 7487,2441,856.49,
Karnataka,Mysore,Mysore Taluka,Lalgaon 7488,4916,1732.38,
Bihar,Bhagalpur,Bhagalpur Taluka,Lalpur 7489,8226,988.3,67.95
Karnataka,Mangalore,Mangalore Taluka,Chhoti Pur 7490,2637,3663.23,
Rajasthan,Kota,Kota Taluka,Nayapur 7491,1885,3688.02,80.5
Uttar Pradesh,Kanpur,Kanpur Taluka,Kalapeta 7492,3553,2241.48,41.44
West Bengal,Howrah,Howrah Taluka,Purapeta 7493,8350,3368.05,60.35
Maharashtra,Nagpur,Nagpur Taluka,Badi Wadi 7494,4678,2671.24,81.55
Tamil Nadu,Madurai,Madurai Taluka,Nayakhurd 7495,3643,1159.78,52.87
Maharashtra,Thane,Thane Taluka,Chhotipur 7496,5744,4506.9,92.26
Uttar Pradesh,Kanpur,Kanpur Taluka,Moti Khurd 7497,10182,2790.55,59.96
West Bengal,Siliguri,Siliguri Taluka,Pura Garh 7498,13806,4957.05,74.3
Rajasthan,Jodhpur,Jodhpur Taluka,Nava Pur 7499,3291,1175.07,58.86
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Naya Wadi 7500,3369,224.71,89.92
Maharashtra,Pune,Pune Taluka,Pura Halli 7501,3120,1961.85,69.72
Maharashtra,Nagpur,Nagpur Taluka,Chhotipeta 7502,9855,1496.84,75.96
Karnataka,Mysore,Mysore Taluka,Haripeta 7503,8702,190.31,56.69
Haryana,Panipat,Panipat Taluka,Chhotigaon 7504,1325,240.92,84.84
Tamil Nadu,Madurai,Madurai Taluka,Navakhurd 7505,5295,1970.95,
Rajasthan,Udaipur,Udaipur Taluka,Nayanagar 7506,2122,4354.52,75.78
Uttar Pradesh,Meerut,Meerut Taluka,Harigaon 7507,14327,2199.68,41.49
Rajasthan,Jaipur,Jaipur Taluka,Motikalan 7508,8803,4428.75,51.29
Maharashtra,Thane,Thane Taluka,Badi Pur 7509,7845,3458.41,64.53
Uttar Pradesh,Agra,Agra Taluka,Pura Halli 7510,8614,683.44,75.08
Karnataka,Belgaum,Belgaum Taluka,Naya Wadi 7511,1359,3905.27,62.22
Rajasthan,Jaipur,Jaipur Taluka,Chhoti Peta 7512,9224,1745.35,83.9
Gujarat,Vadodara,Vadodara Taluka,Lal Nagar 7513,12398,4604.31,45.2
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Badinagar 7514,5068,2528.25,92.56
Karnataka,Bangalore,Bangalore Taluka,Chhotiwadi 7515,6026,1192.08,81.69
Uttar Pradesh,Lucknow,Lucknow Taluka,Badi Halli 7516,13218,3915.59,79.38
Gujarat,Rajkot,Rajkot Taluka,Moti Peta 7517,,4703.57,57.36
Maharashtra,Mumbai,Mumbai Taluka,Kala Nagar 7518,7642,4929.84,60.51
Karnataka,Mysore,Mysore Taluka,Kala Wadi 7519,2934,3292.46,87.72
Maharashtra,Thane,Thane Taluka,Badi Gaon 7520,10966,3728.26,44.34
Gujarat,Surat,Surat Taluka,Lal Khurd 7521,7838,4679.88,57.45
Tamil Nadu,Madurai,Madurai Taluka,Lal Garh 7522,14380,2555.34,64.16
Rajasthan,Udaipur,Udaipur Taluka,Motinagar 7523,9654,4031.02,76.59
Gujarat,Vadodara,Vadodara Taluka,Kala Pur 7524,2811,1917.86,56.61
Uttar Pradesh,Agra,Agra Taluka,Kalakalan 7525,12644,303.54,87.3
Rajasthan,Jaipur,Jaipur Taluka,Haripur 7526,14113,844.14,76.33
Karnataka,Bangalore,Bangalore Taluka,Badi Khurd 7527,1770,4052.35,53.58
Tamil Nadu,Salem,Salem Taluka,Naya Nagar 7528,14974,203.1,54.49
Karnataka,Mysore,Mysore Taluka,Harikalan 7529,10398,4716.74,77.04
Karnataka,Belgaum,Belgaum Taluka,Lal Khurd 7530,5184,2333.69,78.1
Haryana,Rohtak,Rohtak Taluka,Harigaon 7531,6171,1309.98,72.41
West Bengal,Darjeeling,Darjeeling Taluka,Hari Nagar 7532,4020,1709.86,87.64
Maharashtra,Pune,Pune Taluka,Lal Khurd 7533,2980,178.43,88.48
Karnataka,Mangalore,Mangalore Taluka,Lalgaon 7534,7224,945.89,54.05
Uttar Pradesh,Agra,Agra Taluka,Motiwadi 7535,13245,4555.22,54.04
Punjab,Ludhiana,Ludhiana Taluka,Lalgarh 7536,9225,4035.86,74.17
Karnataka,Mysore,Mysore Taluka,Kala Khurd 7537,,4096.94,88.02
Gujarat,Bhavnagar,Bhavnagar Taluka,Hari Halli 7538,10135,1937.86,59.42
Uttar Pradesh,Agra,Agra Taluka,Naya Gaon 7539,13144,1826.38,42.79
Karnataka,Hubli,Hubli Taluka,Badi Pur 7540,11318,1800.24,69.92
Gujarat,Vadodara,Vadodara Taluka,Pura Wadi 7541,10963,2967.89,52.17
Gujarat,Ahmedabad,Ahmedabad Taluka,Lalgaon 7542,9193,1704.26,75.95
West Bengal,Howrah,Howrah Taluka,Chhoti Pur 7543,8655,997.48,56.46
Uttar Pradesh,Meerut,Meerut Taluka,Lal Wadi 7544,1817,2508.17,74.1
Maharashtra,Nashik,Nashik Taluka,Lalkalan 7545,13897,3846.63,55.4
West Bengal,Darjeeling,Darjeeling Taluka,Chhotinagar 7546,3060,3814.03,68.42
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Badipeta 7547,12389,4056.24,43.11
Punjab,Amritsar,Amritsar Taluka,Badi Halli 7548,12868,2961.91,41.02
Tamil Nadu,Madurai,Madurai Taluka,Chhotikalan 7549,10611,4726.42,67.49
Gujarat,Ahmedabad,Ahmedabad Taluka,Chhoti Peta 7550,5815,358.57,65.59
West Bengal,Darjeeling,Darjeeling Taluka,Badi Kalan 7551,5971,2064.17,77.21
Uttar Pradesh,Varanasi,Varanasi Taluka,Moti Garh 7552,13813,526.38,75.92
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Hari Wadi 7553,1828,3006.6,53.4
Tamil Nadu,Madurai,Madurai Taluka,Haripeta 7554,9141,1462.73,75.58
Rajasthan,Jaipur,Jaipur Taluka,Kalapur 7555,5630,1143.88,82.94
Karnataka,Hubli,Hubli Taluka,Kalagaon 7556,13968,4598.72,56.13
Gujarat,Ahmedabad,Ahmedabad Taluka,Chhotigaon 7557,2215,3973.33,47.37
Karnataka,Mangalore,Mangalore Taluka,Lal Pur 7558,1778,1135.4,84.83
Maharashtra,Nashik,Nashik Taluka,Lalkhurd 7559,526,3023.41,58.21
Rajasthan,Ajmer,Ajmer Taluka,Moti Khurd 7560,12952,3979.7,81.58
Bihar,Muzaffarpur,Muzaffarpur Taluka,Badihalli 7561,305,1296.21,54.04
Haryana,Gurugram,Gurugram Taluka,Motinagar 7562,9083,4738.82,51.46
West Bengal,Durgapur,Durgapur Taluka,Hari Nagar 7563,1388,3209.74,51.98
Rajasthan,Ajmer,Ajmer Taluka,Navapur 7564,12219,1369.81,50.56
Bihar,Muzaffarpur,Muzaffarpur Taluka,Lal Khurd 7565,6412,757.31,72.55
Uttar Pradesh,Agra,Agra Taluka,Motinagar 7566,4367,1284.42,71.54
Rajasthan,Jodhpur,Jodhpur Taluka,Badi Halli 7567,,866.8,45.35
Uttar Pradesh,Varanasi,Varanasi Taluka,Motiwadi 7568,7693,4046.53,76.45
Karnataka,Mysore,Mysore Taluka,Naya Khurd 7569,4398,589.59,49.01
West Bengal,Howrah,Howrah Taluka,Kalakalan 7570,426,3690.6,77.65
Karnataka,Hubli,Hubli Taluka,Nava Garh 7571,11738,937.68,40.44
Uttar Pradesh,Agra,Agra Taluka,Badi Halli 7572,878,4322.51,85.32
Tamil Nadu,Salem,Salem Taluka,Naya Nagar 7573,13334,991.49,89.01
Uttar Pradesh,Lucknow,Lucknow Taluka,Lalhalli 7574,12508,1117.48,58.52
Maharashtra,Thane,Thane Taluka,Puragaon 7575,516,414.91,44.61
Uttar Pradesh,Meerut,Meerut Taluka,Kala Pur 7576,2035,1691.53,54.07
Karnataka,Bangalore,Bangalore Taluka,Badi Halli 7577,5816,590.35,79.01
Rajasthan,Udaipur,Udaipur Taluka,Kala Wadi 7578,644,4705.99,92.21
Haryana,Rohtak,Rohtak Taluka,Hari Gaon 7579,3311,444.25,65.56
Haryana,Rohtak,Rohtak Taluka,Purapur 7580,9141,1695.29,81.84
Bihar,Bhagalpur,Bhagalpur Taluka,Lalwadi 7581,8318,507.53,45.55
Karnataka,Mangalore,Mangalore Taluka,Motigarh 7582,7427,3186.34,44.37
Punjab,Patiala,Patiala Taluka,Nava Gaon 7583,8639,3775.85,92.18
West Bengal,Darjeeling,Darjeeling Taluka,Motikalan 7584,14094,4428.11,82.46
Uttar Pradesh,Agra,Agra Taluka,Chhoti Nagar 7585,13744,1533.82,43.22
Gujarat,Bhavnagar,Bhavnagar Taluka,Badikalan 7586,12999,1124.57,75.2
Gujarat,Ahmedabad,Ahmedabad Taluka,Moti Garh 7587,12756,1806.41,62.88
Maharashtra,Nashik,Nashik Taluka,Puragaon 7588,6143,445.55,86.64
Gujarat,Bhavnagar,Bhavnagar Taluka,Chhotiwadi 7589,9722,2845.27,84.52
Rajasthan,Ajmer,Ajmer Taluka,Motihalli 7590,7710,4730.24,
Karnataka,Hubli,Hubli Taluka,Navawadi 7591,6901,1324.29,86.76
West Bengal,Siliguri,Siliguri Taluka,Badigarh 7592,7079,3600.79,68.0
Gujarat,Surat,Surat Taluka,Kalakhurd 7593,14559,3454.14,76.08
Karnataka,Bangalore,Bangalore Taluka,Navahalli 7594,1212,1611.39,43.98
Rajasthan,Kota,Kota Taluka,Nayakalan 7595,6130,1704.15,56.09
Gujarat,Vadodara,Vadodara Taluka,Purahalli 7596,5557,4270.77,93.23
Punjab,Amritsar,Amritsar Taluka,Badi Kalan 7597,12156,3120.72,54.3
Karnataka,Mangalore,Mangalore Taluka,Naya Garh 7598,2603,1817.34,78.11
Uttar Pradesh,Kanpur,Kanpur Taluka,Naya Nagar 7599,5199,529.9,49.11
Rajasthan,Udaipur,Udaipur Taluka,Pura Wadi 7600,7277,3217.27,47.46
Punjab,Bathinda,Bathinda Taluka,Puranagar 7601,6624,2478.67,
Haryana,Panipat,Panipat Taluka,Nava Khurd 7602,,4105.14,70.28
Punjab,Ludhiana,Ludhiana Taluka,Motinagar 7603,7761,2035.28,72.05
Haryana,Panipat,Panipat Taluka,Purahalli 7604,,1348.52,60.67
Gujarat,Rajkot,Rajkot Taluka,Kala Kalan 7605,4821,542.92,69.45
Karnataka,Mangalore,Mangalore Taluka,Purapur 7606,4745,1703.4,68.13
Haryana,Panipat,Panipat Taluka,Haripeta 7607,5836,1751.41,42.14
Uttar Pradesh,Kanpur,Kanpur Taluka,Nava Peta 7608,7505,4874.67,82.72
Karnataka,Belgaum,Belgaum Taluka,Kala Nagar 7609,12498,3114.29,58.26
Punjab,Jalandhar,Jalandhar Taluka,Lalhalli 7610,9341,1427.53,76.82
Karnataka,Mangalore,Mangalore Taluka,Motinagar 7611,172,4736.71,75.04
Gujarat,Rajkot,Rajkot Taluka,Chhotigaon 7612,14799,328.99,85.31
Tamil Nadu,Chennai,Chennai Taluka,Hari Nagar 7613,10432,4337.1,84.74
Uttar Pradesh,Kanpur,Kanpur Taluka,Pura Khurd 7614,3207,2641.21,45.21
Punjab,Ludhiana,Ludhiana Taluka,Lalpur 7615,4038,853.18,67.55
Punjab,Ludhiana,Ludhiana Taluka,Pura Peta 7616,14580,1641.9,69.72
Karnataka,Hubli,Hubli Taluka,Navakhurd 7617,5878,701.97,76.63
Bihar,Gaya,Gaya Taluka,Badi Pur 7618,11816,2487.77,93.81
Maharashtra,Nashik,Nashik Taluka,Navagarh 7619,9254,2303.43,40.19
Maharashtra,Pune,Pune Taluka,Navagarh 7620,1509,1396.49,83.22
West Bengal,Howrah,Howrah Taluka,Lal Kalan 7621,8552,2343.4,62.0
Haryana,Faridabad,Faridabad Taluka,Navagaon 7622,11053,4718.57,87.71
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Pura Khurd 7623,13465,3184.13,45.12
Tamil Nadu,Madurai,Madurai Taluka,Badi Halli 7624,8663,974.7,54.2
Uttar Pradesh,Lucknow,Lucknow Taluka,Chhotigarh 7625,6947,3946.86,89.32
Haryana,Rohtak,Rohtak Taluka,Motinagar 7626,8018,987.73,69.23
Gujarat,Surat,Surat Taluka,Nayapeta 7627,8175,3312.69,54.55
Uttar Pradesh,Meerut,Meerut Taluka,Nayanagar 7628,13578,511.17,68.3
Haryana,Gurugram,Gurugram Taluka,Naya Wadi 7629,12683,2686.55,87.42
West Bengal,Kolkata,Kolkata Taluka,Chhotinagar 7630,12045,601.0,45.29
Gujarat,Bhavnagar,Bhavnagar Taluka,Lal Gaon 7631,8766,2491.22,
Gujarat,Ahmedabad,Ahmedabad Taluka,Nayanagar 7632,6754,2968.93,74.87
West Bengal,Durgapur,Durgapur Taluka,Naya Nagar 7633,8103,3615.97,79.65
West Bengal,Siliguri,Siliguri Taluka,Kalahalli 7634,12293,1340.92,60.26
Haryana,Gurugram,Gurugram Taluka,Nava Peta 7635,10371,3204.19,65.48
Bihar,Muzaffarpur,Muzaffarpur Taluka,Nava Wadi 7636,8191,887.66,94.23
Karnataka,Belgaum,Belgaum Taluka,Purawadi 7637,9605,2528.25,89.96
Bihar,Patna,Patna Taluka,Pura Halli 7638,14351,3186.7,80.38
Karnataka,Bangalore,Bangalore Taluka,Chhotihalli 7639,1276,3762.6,54.84
Tamil Nadu,Salem,Salem Taluka,Purakalan 7640,9588,4932.3,88.58
Rajasthan,Jaipur,Jaipur Taluka,Moti Halli 7641,3479,1207.8,40.43
Karnataka,Mangalore,Mangalore Taluka,Lalkalan 7642,1663,4191.92,59.77
Maharashtra,Thane,Thane Taluka,Hari Gaon 7643,3039,1189.76,57.86
Karnataka,Mangalore,Mangalore Taluka,Purahalli 7644,9869,437.7,47.99
Karnataka,Mysore,Mysore Taluka,Badi Peta 7645,13673,4174.79,51.44
Uttar Pradesh,Varanasi,Varanasi Taluka,Harihalli 7646,9757,4293.7,84.05
Haryana,Faridabad,Faridabad Taluka,Kala Gaon 7647,8832,2866.13,
Karnataka,Bangalore,Bangalore Taluka,Lalpur 7648,2837,4752.05,57.95
Rajasthan,Kota,Kota Taluka,Lal Halli 7649,8353,4937.53,73.47
Karnataka,Belgaum,Belgaum Taluka,Navapeta 7650,6246,4584.55,85.26
Karnataka,Bangalore,Bangalore Taluka,Navapeta 7651,5017,3975.92,82.58
Haryana,Rohtak,Rohtak Taluka,Harigarh 7652,3983,3345.98,51.29
Bihar,Gaya,Gaya Taluka,Moti Pur 7653,547,3315.72,69.52
Karnataka,Belgaum,Belgaum Taluka,Nava Garh 7654,7311,426.61,76.24
Gujarat,Vadodara,Vadodara Taluka,Nayapeta 7655,10911,100.77,73.55
Uttar Pradesh,Varanasi,Varanasi Taluka,Chhotihalli 7656,8227,3073.53,60.25
Haryana,Faridabad,Faridabad Taluka,Nava Khurd 7657,4461,1531.56,92.83
Bihar,Purnia,Purnia Taluka,Moti Kalan 7658,10740,1469.51,79.83
West Bengal,Durgapur,Durgapur Taluka,Lalkalan 7659,11532,4429.53,81.18
Haryana,Ambala,Ambala Taluka,Purakhurd 7660,8318,1101.06,44.41
Uttar Pradesh,Lucknow,Lucknow Taluka,Purawadi 7661,6199,4357.1,45.74
West Bengal,Darjeeling,Darjeeling Taluka,Naya Nagar 7662,5117,4983.56,74.93
West Bengal,Kolkata,Kolkata Taluka,Harihalli 7663,2540,1251.72,87.66
Punjab,Patiala,Patiala Taluka,Kala Halli 7664,1873,2416.51,73.73
Tamil Nadu,Salem,Salem Taluka,Pura Kalan 7665,140,3657.66,73.06
Haryana,Faridabad,Faridabad Taluka,Naya Wadi 7666,183,4881.88,49.28
Rajasthan,Jodhpur,Jodhpur Taluka,Hari Khurd 7667,7162,3113.95,76.9
Maharashtra,Thane,Thane Taluka,Hari Garh 7668,8513,2336.24,69.35
Haryana,Ambala,Ambala Taluka,Badi Peta 7669,2023,4883.77,75.45
Maharashtra,Nashik,Nashik Taluka,Badi Peta 7670,5836,1069.2,46.91
Rajasthan,Udaipur,Udaipur Taluka,Kalapeta 7671,4597,4277.5,62.28
Rajasthan,Kota,Kota Taluka,Chhoti Kalan 7672,13415,441.61,66.58
West Bengal,Siliguri,Siliguri Taluka,Nava Wadi 7673,8997,2082.18,82.24
Maharashtra,Nagpur,Nagpur Taluka,Puragarh 7674,10096,2355.96,62.11
Punjab,Jalandhar,Jalandhar Taluka,Pura Gaon 7675,5010,810.91,64.85
Uttar Pradesh,Lucknow,Lucknow Taluka,Badinagar 7676,6644,4070.66,52.61
Rajasthan,Udaipur,Udaipur Taluka,Chhotigaon 7677,3190,2775.33,65.52
Bihar,Gaya,Gaya Taluka,Naya Khurd 7678,5169,4665.8,51.93
Uttar Pradesh,Meerut,Meerut Taluka,Naya Halli 7679,5204,1116.06,57.45
Karnataka,Mangalore,Mangalore Taluka,Navagarh 7680,9269,306.12,50.48
Haryana,Ambala,Ambala Taluka,Naya Nagar 7681,525,2717.1,47.96
Rajasthan,Udaipur,Udaipur Taluka,Purahalli 7682,8820,1890.88,89.35
